,PMODE,TOTTR_R,INCOM_R,HHVEH_R,DNYC,HHSIZE,TRPDUR,TRPDIST_HN
0,19,1,2,3,1,3,60,45.19
1,19,1,2,3,0,3,20,16.39
2,19,1,2,3,0,3,20,18.59
3,19,2,4,2,0,2,70,42.97
4,19,1,4,2,1,2,52,9.85
5,6,2,4,2,1,2,173,59.8
6,6,1,4,2,1,2,135,0.0
7,17,2,4,2,0,4,17,2.85
8,6,1,4,2,1,4,56,29.36
9,19,1,4,2,0,4,5,0.96
10,19,1,4,2,0,4,5,0.95
11,19,1,4,2,0,4,5,0.96
12,19,1,4,2,0,4,6,0.95
13,19,1,4,2,0,4,12,1.44
14,6,1,3,1,1,1,75,26.83
15,19,1,4,3,0,3,20,12.01
16,19,1,4,3,0,3,20,11.96
17,19,1,4,3,0,3,22,6.21
18,19,1,4,3,0,3,34,6.21
19,19,1,2,2,0,2,35,13.76
20,19,1,2,2,0,2,32,13.88
21,19,1,4,3,0,2,30,0.0
22,19,1,4,3,0,2,30,0.0
23,19,1,4,2,0,2,30,13.5
24,19,1,4,2,0,2,36,14.76
25,17,2,4,2,0,2,43,30.79
26,17,2,4,2,0,2,50,30.49
27,19,1,4,3,0,3,50,38.22
28,19,1,4,3,0,3,30,16.89
29,19,1,4,3,0,3,45,22.06
30,19,1,4,2,0,3,18,7.18
31,19,1,4,2,0,3,16,7.18
32,19,2,3,2,0,4,4,4.29
33,19,1,3,2,0,4,30,21.28
34,19,1,3,2,0,4,41,20.14
35,6,1,4,2,1,3,79,27.3
36,15,1,4,2,0,3,45,4.92
37,17,2,4,2,0,3,25,4.86
38,19,2,4,2,0,3,17,3.88
39,19,1,4,2,0,3,25,9.41
40,19,1,4,2,0,3,37,13.74
41,19,1,4,2,1,3,45,31.28
42,17,2,3,1,0,1,10,1.2
43,6,1,3,1,1,1,59,25.94
44,6,1,3,1,1,1,82,48.52
45,15,1,3,1,0,1,23,1.2
46,19,1,4,2,0,4,35,15.86
47,19,1,4,2,0,4,45,15.38
48,19,1,4,2,0,4,13,4.44
49,19,1,4,2,0,4,9,0.66
50,19,1,4,2,0,4,3,0.66
51,19,1,4,2,0,4,14,4.44
52,19,1,4,3,1,3,45,11.28
53,19,1,4,1,0,1,12,11.6
54,19,1,4,1,0,1,14,6.5
55,19,1,4,1,0,1,57,14.82
56,19,1,4,1,0,1,8,3.38
57,19,1,4,1,0,1,18,0.0
58,19,1,4,1,0,1,16,0.0
59,19,1,4,2,0,2,25,16.29
60,19,1,4,2,0,2,30,16.64
61,19,1,4,2,1,3,34,20.54
62,19,1,3,2,0,2,21,15.38
63,23,1,3,2,0,2,5,0.81
64,19,1,3,2,1,2,65,40.74
65,6,1,4,1,1,1,116,38.23
66,19,1,1,1,0,2,15,5.33
67,19,1,1,1,0,2,15,5.3
68,17,2,4,3,0,3,25,5.64
69,19,1,4,3,0,3,12,7.3
70,19,1,4,3,0,3,15,7.31
71,17,2,4,3,0,3,25,5.31
72,17,2,4,3,0,3,10,3.01
73,19,2,4,3,0,3,25,5.64
74,19,2,4,3,0,3,25,5.31
75,19,2,4,3,0,3,10,3.01
76,19,1,4,3,0,3,85,43.65
77,19,1,4,3,0,3,90,43.79
78,19,1,4,2,1,4,80,61.35
79,19,2,4,2,0,4,25,10.67
80,19,3,4,2,0,4,5,4.19
81,19,1,4,2,0,4,19,2.82
82,19,1,4,2,0,4,21,16.15
83,19,2,4,2,0,4,30,13.45
84,19,1,4,2,0,4,24,10.67
85,19,1,4,1,0,2,1,0.44
86,19,1,4,1,0,2,2,0.44
87,19,1,4,1,0,2,6,0.44
88,19,1,4,1,0,2,17,6.75
89,19,1,4,1,0,2,15,6.74
90,19,1,2,1,0,1,46,36.98
91,19,1,2,1,0,1,49,37.53
92,19,1,2,1,0,1,31,14.92
93,19,1,2,1,0,1,28,15.03
94,19,1,4,3,0,5,40,19.38
95,19,1,4,3,0,5,30,20.08
96,19,3,4,3,0,5,10,3.03
97,19,1,4,3,0,5,35,9.21
98,19,2,4,3,0,5,30,6.89
99,19,2,4,3,0,5,15,4.69
100,19,1,4,3,0,5,15,0.0
101,19,1,4,3,0,5,5,0.0
102,19,1,4,3,0,5,5,1.41
103,19,1,4,3,0,5,40,13.86
104,19,1,4,3,0,5,10,3.34
105,19,3,4,3,0,5,5,2.97
106,19,1,2,2,0,2,5,1.77
107,19,1,2,2,0,2,8,1.84
108,19,1,2,2,0,2,30,10.8
109,19,1,2,2,0,2,15,10.47
110,19,1,2,1,0,1,20,6.86
111,19,1,2,1,0,1,15,6.86
112,6,1,4,2,1,4,55,20.81
113,19,1,4,2,0,4,5,1.27
114,19,1,4,2,0,4,5,1.27
115,19,1,4,2,0,4,5,1.27
116,19,1,4,2,0,4,5,2.46
117,19,1,4,2,0,4,5,1.77
118,19,1,4,2,0,4,10,1.27
119,19,1,4,2,0,4,25,1.01
120,19,1,4,2,0,4,5,0.98
121,19,1,4,2,0,4,5,2.46
122,19,2,4,2,0,4,5,0.41
123,19,3,4,2,0,4,12,1.77
124,19,1,2,2,1,1,125,39.02
125,19,1,2,2,0,1,22,14.73
126,19,1,2,2,0,1,27,15.34
127,19,1,4,2,0,2,45,0.0
128,19,1,4,2,0,2,20,12.05
129,19,1,4,2,0,2,60,37.21
130,19,1,4,2,0,2,15,2.62
131,19,1,4,2,0,2,30,6.55
132,19,1,4,2,0,2,50,28.86
133,19,1,4,2,0,2,30,12.05
134,19,1,4,2,0,2,30,25.64
135,19,1,4,2,0,2,30,0.0
136,19,1,9,3,0,4,15,7.81
137,19,1,9,3,0,4,22,7.81
138,19,2,3,3,0,5,5,0.37
139,19,1,3,3,0,5,18,7.91
140,19,1,3,3,0,5,30,7.78
141,19,2,3,3,0,5,5,0.37
142,19,1,3,3,1,5,105,33.56
143,19,1,2,3,0,3,40,12.2
144,19,1,2,3,0,3,60,9.81
145,19,1,2,3,0,3,50,14.06
146,19,1,1,2,0,3,10,7.67
147,19,1,1,2,0,3,15,7.5
148,19,1,4,2,0,2,20,7.03
149,19,1,4,2,0,2,22,7.03
150,19,1,4,2,0,4,30,7.29
151,19,1,4,2,0,4,30,7.29
152,19,1,9,2,0,2,23,10.84
153,19,1,9,2,0,2,28,14.25
154,19,1,9,2,0,2,57,7.35
155,6,1,4,3,1,3,98,21.51
156,19,1,4,3,1,3,41,16.73
157,19,1,4,3,0,3,10,1.72
158,19,1,4,3,0,3,9,1.72
159,19,1,2,2,0,2,9,0.77
160,19,1,2,2,0,2,29,19.74
161,19,1,2,2,0,2,4,0.75
162,19,1,2,2,0,2,26,18.69
163,19,2,3,3,0,2,30,17.44
164,19,1,3,3,0,2,45,17.91
165,17,2,3,3,0,2,40,21.51
166,19,1,3,3,0,2,40,22.15
167,19,1,2,1,0,1,40,26.31
168,19,1,2,1,0,1,35,25.85
169,19,1,4,2,0,2,24,9.03
170,19,1,4,2,0,2,30,9.07
171,19,1,4,3,0,4,18,0.0
172,19,1,4,3,0,4,5,0.0
173,19,1,4,3,0,4,21,9.64
174,19,1,2,2,0,2,40,2.16
175,19,1,2,2,0,2,5,2.16
176,19,1,2,2,0,2,5,2.16
177,19,1,2,2,0,2,5,2.16
178,19,1,2,2,0,2,15,14.84
179,19,1,2,2,0,2,15,14.31
180,19,1,2,1,1,1,60,40.88
181,19,1,4,2,0,2,18,8.71
182,19,1,4,2,0,2,17,6.61
183,19,1,4,2,0,2,3,0.0
184,19,1,4,2,0,2,40,0.0
185,19,1,4,2,0,2,6,2.16
186,19,1,4,2,0,2,2,0.36
187,19,1,4,2,0,2,20,15.02
188,19,1,4,2,0,2,6,3.0
189,19,1,4,2,0,2,9,3.02
190,19,1,4,2,0,2,22,15.61
191,19,1,4,2,0,2,1,0.36
192,19,1,4,2,0,2,2,0.36
193,19,1,4,2,0,2,10,2.16
194,19,1,4,2,0,4,4,2.08
195,19,1,4,2,0,4,3,2.37
196,19,1,2,2,0,2,15,2.47
197,19,2,2,2,0,2,9,0.0
198,19,2,2,2,0,2,3,0.0
199,19,2,2,2,0,2,5,0.0
200,19,2,2,2,0,2,15,0.0
201,19,1,2,2,0,2,9,2.54
202,19,1,4,2,0,2,15,3.47
203,19,1,4,2,0,2,15,3.47
204,19,1,2,3,0,4,15,4.2
205,19,1,2,3,0,4,16,4.34
206,19,1,2,3,0,4,17,4.47
207,19,1,2,3,0,4,15,4.47
208,19,1,2,3,0,4,15,4.47
209,19,1,2,3,0,4,18,4.47
210,19,1,2,2,0,1,15,3.43
211,19,1,2,2,0,1,15,2.64
212,19,1,2,2,0,1,10,1.3
213,19,1,2,1,0,3,37,21.25
214,19,1,2,1,0,3,27,20.63
215,19,1,2,1,0,3,29,20.86
216,19,1,2,1,0,3,58,2.48
217,19,1,2,1,0,3,33,20.99
218,6,1,4,3,1,1,109,0.0
219,19,1,4,2,0,2,25,7.82
220,19,1,4,2,0,2,25,7.83
221,19,1,4,2,0,2,35,27.97
222,19,1,4,2,0,2,52,28.1
223,19,1,3,1,0,1,11,6.91
224,19,1,3,1,0,1,12,9.96
