,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,TOUR_PURP,OTPURP,DTPURP,OTPURP_AGG,DTPURP_AGG,DTPURP2,LTMODE_AGG,MODE_SAMP,TOTTR,TRPDUR,TRPDIST_HN,TRPDUR_HN,OZIP,DZIP,HZIP,DNYC,GEO_GROUP1,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORK_PURP,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
41,41,30002500102,3000250,1,2,1,1,0,5,3,16,0,5,17,1.0,9.0,1,3,0.46,0.0,11561,11561,11561,0,3,2,1,19,11,,1,1,1,2,2,2,2,1,1,1.0,1.0,2,1
42,42,30002500103,3000250,1,3,0,1,1,5,16,3,5,0,0,1.0,9.0,1,2,0.46,0.0,11561,11561,11561,0,3,2,1,19,11,,1,1,1,2,2,2,2,1,1,1.0,1.0,2,1
43,43,30002500104,3000250,1,4,1,1,0,9,3,27,0,8,0,1.0,9.0,1,5,1.2,5.54,11561,11561,11561,0,3,2,1,19,11,,1,1,1,2,2,2,2,1,1,1.0,2.0,2,1
44,44,30002500105,3000250,1,5,0,1,0,9,27,26,8,9,0,8.1,11.0,3,5,0.32,0.0,11561,11561,11561,0,3,2,1,23,13,,5,3,97,2,2,3,3,3,1,1.0,1.0,2,1
45,45,30002500106,3000250,1,6,0,1,0,9,26,27,9,8,0,8.1,11.0,1,5,0.32,0.0,11561,11561,11561,0,3,2,1,23,13,,5,3,97,2,2,4,4,1,1,1.0,1.0,2,1
46,46,30002500107,3000250,1,7,0,1,1,9,27,3,8,0,0,1.0,9.0,1,5,1.2,5.54,11561,11561,11561,0,3,2,1,19,11,,1,1,1,2,2,4,4,1,1,1.0,2.0,2,1
47,47,30002750102,3000275,1,2,1,2,0,5,3,17,0,5,0,2.2,9.0,2,15,1.96,7.68,11580,11581,11580,0,3,2,1,17,10,,1,1,1,2,2,2,2,2,2,2.0,3.0,2,1
48,48,30002750103,3000275,1,3,0,2,1,5,17,3,5,0,0,2.2,9.0,2,15,1.96,7.66,11581,11580,11580,0,3,2,1,17,10,,1,1,1,2,2,2,2,2,2,2.0,3.0,2,1
49,49,30002750202,3000275,2,2,1,2,0,5,3,17,0,5,0,2.1,9.0,2,15,1.96,7.68,11580,11581,11580,0,3,2,1,19,11,,1,1,1,2,2,2,2,2,2,2.0,3.0,2,1
50,50,30002750203,3000275,2,3,0,2,1,5,17,3,5,0,0,2.1,9.0,2,15,1.96,7.66,11581,11580,11580,0,3,2,1,19,11,,1,1,1,2,2,2,2,2,2,2.0,3.0,2,1
67,67,30004510102,3000451,1,2,1,4,0,6,3,5,0,4,0,2.1,9.0,3,5,0.76,0.0,11782,11705,11782,0,3,2,1,19,11,,1,1,1,2,2,1,1,3,1,2.0,3.0,2,1
68,68,30004510103,3000451,1,3,0,4,0,6,5,20,4,6,0,1.0,9.0,1,10,1.86,4.82,11705,11782,11782,0,3,2,1,19,11,,1,1,1,2,2,1,1,1,2,2.0,3.0,2,1
69,69,30004510104,3000451,1,4,0,4,0,6,20,19,6,6,0,1.0,9.0,1,33,14.97,28.43,11782,11733,11782,0,3,2,1,19,11,,1,1,1,2,2,2,2,1,3,4.0,5.0,2,1
70,70,30004510105,3000451,1,5,0,4,0,6,19,19,6,6,0,1.0,9.0,1,27,3.81,11.31,11733,11776,11782,0,3,2,1,19,11,,1,1,1,2,2,2,2,1,3,2.0,3.0,2,1
71,71,30004510106,3000451,1,6,0,4,1,6,19,3,6,0,0,1.0,9.0,1,33,12.67,23.19,11776,11782,11782,0,3,2,1,19,11,,1,1,1,2,2,2,2,1,3,5.0,6.0,2,1
72,72,30004510107,3000451,1,7,1,4,0,5,3,18,0,5,0,1.0,9.0,1,18,4.38,9.46,11782,11772,11782,0,3,2,1,19,11,,1,1,1,2,2,2,2,1,2,3.0,4.0,2,1
73,73,30004510108,3000451,1,8,0,4,0,5,18,6,5,4,0,2.1,9.0,3,6,4.49,9.44,11772,11705,11782,0,3,2,1,19,11,,1,1,1,2,2,2,2,3,1,2.0,3.0,2,1
74,74,30004510109,3000451,1,9,0,4,0,5,6,18,4,5,0,2.1,9.0,3,11,4.38,9.46,11705,11772,11782,0,3,2,1,19,11,,1,1,1,2,2,2,2,3,2,2.0,3.0,2,1
75,75,30004510110,3000451,1,10,0,4,1,5,18,6,5,4,0,2.1,9.0,3,12,4.49,9.44,11772,11782,11782,0,3,2,1,19,11,,1,1,1,2,2,3,3,3,2,3.0,4.0,2,1
76,76,30004510111,3000451,1,11,1,4,0,4,6,97,4,13,0,2.1,9.0,3,1,2.53,6.23,11782,11782,11782,0,3,2,1,19,11,,1,1,1,2,2,3,3,3,1,1.0,1.0,2,1
77,77,30004510112,3000451,1,12,0,4,0,4,97,19,13,6,0,2.1,9.0,3,7,0.58,0.0,11782,11782,11782,0,3,2,1,19,11,,1,1,1,2,2,3,3,3,1,1.0,1.0,2,1
78,78,30004510113,3000451,1,13,0,4,0,4,19,16,6,5,0,2.1,9.0,3,1,0.58,0.0,11782,11782,11782,0,3,2,1,19,11,,1,1,1,2,2,3,3,3,1,1.0,1.0,2,1
79,79,30004510114,3000451,1,14,0,4,1,4,16,6,5,4,0,2.1,9.0,3,2,2.51,6.15,11782,11782,11782,0,3,2,1,19,11,,1,1,1,2,2,3,3,3,1,1.0,1.0,2,1
80,80,30004510115,3000451,1,15,1,4,0,9,6,24,4,9,0,2.1,9.0,3,4,2.53,6.23,11782,11782,11782,0,3,2,1,19,11,,1,1,1,2,2,3,3,3,1,1.0,2.0,2,1
81,81,30004510116,3000451,1,16,0,4,1,9,24,5,9,4,0,2.1,9.0,2,1,2.51,6.15,11782,11782,11782,0,3,2,1,19,11,,1,1,1,2,2,3,3,2,1,1.0,2.0,2,1
82,82,30004510117,3000451,1,17,1,4,0,9,5,23,4,9,0,1.0,9.0,1,8,3.58,8.77,11782,11796,11782,0,3,2,1,19,11,,1,1,1,2,2,3,3,1,1,2.0,3.0,2,1
83,83,30004510118,3000451,1,18,0,4,1,9,23,3,9,0,0,1.0,9.0,1,5,3.56,8.69,11796,11782,11782,0,3,2,1,19,11,,1,1,1,2,2,4,4,1,1,2.0,3.0,2,1
84,84,30004510202,3000451,2,2,1,4,0,3,4,12,10,3,0,9.0,7.0,1,25,1.86,4.82,11782,11782,11782,0,3,2,1,1,1,,3,2,2,2,2,1,1,1,3,2.0,3.0,2,1
85,85,30004510204,3000451,2,4,0,4,1,3,12,3,3,0,0,9.0,7.0,1,25,1.86,4.79,11782,11782,11782,0,3,2,1,1,1,,3,2,2,2,2,2,2,1,3,2.0,3.0,2,1
86,86,30004510205,3000451,2,5,1,4,0,0,3,3,0,0,24,2.2,9.0,2,4,2.53,6.23,11782,11782,11782,0,3,2,1,17,10,,1,1,1,2,2,3,3,2,1,1.0,2.0,2,1
87,87,30004510206,3000451,2,6,0,4,1,0,3,3,0,0,0,2.2,9.0,2,1,2.51,6.15,11782,11782,11782,0,3,2,1,17,10,,1,1,1,2,2,3,3,2,1,1.0,2.0,2,1
88,88,30004510302,3000451,3,2,1,4,0,3,3,12,0,3,0,9.0,7.0,2,20,1.86,4.82,11782,11782,11782,0,3,2,1,1,1,,3,2,2,2,2,1,1,2,3,2.0,3.0,2,1
89,89,30004510304,3000451,3,4,0,4,1,3,12,3,3,0,0,9.0,7.0,2,15,1.86,4.79,11782,11782,11782,0,3,2,1,1,1,,3,2,2,2,2,2,2,2,2,2.0,3.0,2,1
90,90,30004510402,3000451,4,2,1,4,0,3,3,12,0,3,0,9.0,7.0,2,23,1.86,4.82,11782,11782,11782,0,3,2,1,1,1,,3,2,2,2,2,1,1,2,3,2.0,3.0,2,1
91,91,30004510404,3000451,4,4,0,4,1,3,12,3,3,0,0,9.0,7.0,2,15,1.86,4.79,11782,11782,11782,0,3,2,1,1,1,,3,2,2,2,2,2,2,2,2,2.0,3.0,2,1
92,92,30004510405,3000451,4,5,1,4,0,5,3,97,0,13,0,2.2,9.0,3,1,2.53,6.23,11782,11782,11782,0,3,2,1,17,10,,1,1,1,2,2,3,3,3,1,1.0,1.0,2,1
93,93,30004510406,3000451,4,6,0,4,0,5,97,8,13,6,0,2.2,9.0,3,7,0.58,0.0,11782,11782,11782,0,3,2,1,17,10,,1,1,1,2,2,3,3,3,1,1.0,1.0,2,1
94,94,30004510407,3000451,4,7,0,4,0,5,8,16,6,5,0,2.2,9.0,3,1,0.58,0.0,11782,11782,11782,0,3,2,1,17,10,,1,1,1,2,2,3,3,3,1,1.0,1.0,2,1
95,95,30004510408,3000451,4,8,0,4,1,5,16,3,5,0,0,2.2,9.0,3,2,2.51,6.15,11782,11782,11782,0,3,2,1,17,10,,1,1,1,2,2,3,3,3,1,1.0,1.0,2,1
177,177,30007510102,3000751,1,2,1,3,0,4,3,5,0,4,0,2.1,9.0,2,15,5.33,14.05,11706,11706,11706,0,3,2,1,19,11,,1,1,1,2,2,1,1,2,2,1.0,2.0,2,3
178,178,30007510103,3000751,1,3,0,3,1,4,5,3,4,0,2,1.0,9.0,1,5,5.12,13.57,11706,11706,11706,0,3,2,1,19,11,,1,1,1,2,2,1,1,1,1,1.0,2.0,2,3
179,179,30007510104,3000751,1,4,1,3,0,1,3,9,0,1,0,1.0,9.0,1,60,45.19,62.99,11706,0,11706,1,3,2,1,19,11,,1,1,1,1,1,2,2,1,4,6.0,6.0,2,3
180,180,30007510105,3000751,1,5,0,3,1,1,9,2,1,0,3,1.0,9.0,1,50,42.73,64.09,0,11706,11706,0,3,1,1,19,11,,1,1,1,1,1,5,4,1,4,6.0,6.0,2,3
181,181,30007510202,3000751,2,2,1,3,0,1,3,9,0,1,10,1.0,9.0,1,20,16.39,33.88,11706,11746,11706,0,3,2,1,19,11,,1,1,1,1,1,1,1,1,3,4.0,5.0,2,3
182,182,30007510203,3000751,2,3,0,3,1,1,9,3,1,0,0,1.0,9.0,1,20,18.59,33.49,11746,11706,11706,0,3,2,1,19,11,,1,1,1,1,1,3,3,1,3,4.0,5.0,2,3
183,183,30007510302,3000751,3,2,1,3,0,3,3,12,0,3,0,2.2,9.0,2,15,5.33,14.05,11706,11706,11706,0,3,2,1,17,10,,1,1,1,2,2,1,1,2,2,1.0,2.0,2,3
184,184,30007510303,3000751,3,3,0,3,1,3,12,2,3,0,3,9.0,7.0,13,15,5.12,13.57,11706,11706,11706,0,3,2,1,1,1,,3,2,2,2,2,2,2,4,2,1.0,2.0,2,3
241,241,30008150102,3000815,1,2,1,1,0,5,3,17,0,5,0,1.0,9.0,1,8,0.42,0.0,11510,11510,11510,0,3,2,1,19,11,,1,1,1,2,2,2,2,1,1,1.0,1.0,1,1
242,242,30008150103,3000815,1,3,0,1,1,5,17,3,5,0,0,1.0,9.0,1,10,0.42,0.0,11510,11510,11510,0,3,2,1,19,11,,1,1,1,2,2,2,2,1,2,1.0,1.0,1,1
523,523,30021830102,3002183,1,2,1,2,0,1,1,9,0,1,0,2.1,9.0,2,70,42.97,69.9,11727,11040,11727,0,3,2,1,19,11,,1,1,1,1,1,1,1,2,4,6.0,6.0,4,2
524,524,30021830103,3002183,1,3,0,2,0,1,9,97,1,13,0,1.0,9.0,1,52,9.85,26.43,11040,11375,11727,1,3,2,1,19,11,,1,1,1,1,1,3,3,1,4,4.0,5.0,4,2
525,525,30021830104,3002183,1,4,0,2,1,1,97,1,13,0,0,2.1,9.0,2,74,52.61,80.0,11375,11727,11727,0,3,1,1,19,11,,1,1,1,1,2,3,3,2,4,6.0,6.0,4,2
526,526,30021830202,3002183,2,2,1,2,0,1,1,9,0,1,0,6.2,4.1,2,173,59.8,101.84,11727,10036,11727,1,3,2,1,12,7,,2,2,2,1,1,1,1,2,5,6.0,6.0,4,2
