,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,OTPURP,DTPURP,OTPURP_AGG,DTPURP_AGG,DTPURP2,LTMODE_AGG,MODE_SAMP,TOTTR,TRPDUR,TRPDIST_HN,TRPDUR_HN,OZIP,DZIP,HZIP,DNYC,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORK_PURP,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
179,179,30007510104,3000751,1,4,1,3,0,3,9,0,1,0,1.0,9.0,1,60,45.19,62.99,11706,0,11706,1,2,1,19,11,,1,1,1,1,1,2,2,1,4,6.0,6.0,2,3
180,180,30007510105,3000751,1,5,0,3,1,9,2,1,0,3,1.0,9.0,1,50,42.73,64.09,0,11706,11706,0,1,1,19,11,,1,1,1,1,1,5,4,1,4,6.0,6.0,2,3
181,181,30007510202,3000751,2,2,1,3,0,3,9,0,1,10,1.0,9.0,1,20,16.39,33.88,11706,11746,11706,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,4.0,5.0,2,3
182,182,30007510203,3000751,2,3,0,3,1,9,3,1,0,0,1.0,9.0,1,20,18.59,33.49,11746,11706,11706,0,2,1,19,11,,1,1,1,1,1,3,3,1,3,4.0,5.0,2,3
523,523,30021830102,3002183,1,2,1,2,0,1,9,0,1,0,2.1,9.0,2,70,42.97,69.9,11727,11040,11727,0,2,1,19,11,,1,1,1,1,1,1,1,2,4,6.0,6.0,4,2
524,524,30021830103,3002183,1,3,0,2,0,9,97,1,13,0,1.0,9.0,1,52,9.85,26.43,11040,11375,11727,1,2,1,19,11,,1,1,1,1,1,3,3,1,4,4.0,5.0,4,2
525,525,30021830104,3002183,1,4,0,2,1,97,1,13,0,0,2.1,9.0,2,74,52.61,80.0,11375,11727,11727,0,1,1,19,11,,1,1,1,1,2,3,3,2,4,6.0,6.0,4,2
526,526,30021830202,3002183,2,2,1,2,0,1,9,0,1,0,6.2,4.1,2,173,59.8,101.84,11727,10036,11727,1,2,1,12,7,,2,2,2,1,1,1,1,2,5,6.0,6.0,4,2
527,527,30021830206,3002183,2,6,0,2,1,9,3,1,0,0,6.2,4.1,1,132,60.04,98.65,10036,11727,11727,0,1,1,12,7,,2,2,2,1,1,3,3,1,5,6.0,6.0,4,2
627,627,30027890202,3002789,2,2,1,2,0,3,9,0,1,0,7.0,1.0,1,135,0.0,0.0,11758,0,11758,1,2,1,6,3,4.0,2,2,2,1,1,1,1,1,5,6.0,6.0,4,2
628,628,30027890206,3002789,2,6,0,2,0,9,21,1,7,0,6.0,4.0,1,35,0.0,0.0,0,10019,11758,1,1,1,12,7,,2,2,2,1,1,3,3,1,3,3.0,4.0,4,2
629,629,30027890209,3002789,2,9,0,2,0,21,26,7,9,0,8.1,11.0,2,10,0.0,0.0,10019,10036,11758,1,1,1,23,13,,5,3,97,1,2,3,3,2,2,1.0,1.0,4,2
630,630,30027890210,3002789,2,10,0,2,1,26,3,9,0,0,2.1,9.0,2,90,0.0,0.0,10036,11758,11758,0,1,1,19,11,,1,1,1,1,2,4,4,2,5,6.0,6.0,4,2
657,657,30030040102,3003004,1,2,1,4,0,3,9,0,1,0,2.2,9.0,2,17,2.85,6.93,11795,11702,11795,0,2,1,17,10,,1,1,1,1,1,5,4,2,2,2.0,3.0,4,2
658,658,30030040104,3003004,1,4,0,4,0,9,21,1,7,0,7.0,1.0,1,56,29.36,55.55,11702,11435,11795,1,2,1,6,3,,2,2,2,1,1,2,2,1,4,6.0,6.0,4,2
659,659,30030040106,3003004,1,6,0,4,1,21,3,7,0,0,7.2,1.1,1,356,31.62,55.89,11435,11795,11795,0,1,1,6,3,4.0,2,2,2,1,2,2,2,1,5,6.0,6.0,4,2
662,662,30030040204,3003004,2,4,1,4,0,3,9,0,1,0,1.0,9.0,1,5,0.96,2.4,11795,11795,11795,0,2,1,19,11,,1,1,1,1,1,1,1,1,1,1.0,2.0,4,2
663,663,30030040205,3003004,2,5,0,4,1,9,3,1,0,0,1.0,9.0,1,5,0.95,2.36,11795,11795,11795,0,2,1,19,11,,1,1,1,1,1,2,2,1,1,1.0,2.0,4,2
664,664,30030040206,3003004,2,6,1,4,0,3,9,0,1,0,1.0,9.0,1,5,0.96,2.4,11795,11795,11795,0,2,1,19,11,,1,1,1,1,1,2,2,1,1,1.0,2.0,4,2
665,665,30030040207,3003004,2,7,0,4,1,9,3,1,0,0,1.0,9.0,1,6,0.95,2.36,11795,11795,11795,0,2,1,19,11,,1,1,1,1,1,2,2,1,1,1.0,2.0,4,2
675,675,30030040307,3003004,3,7,1,4,0,3,9,0,1,0,1.0,9.0,1,12,1.44,3.76,11795,11795,11795,0,2,1,19,11,,1,1,1,1,1,2,2,1,2,2.0,3.0,4,2
