,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,DTPURP,DTPURP2,LTMODE_AGG,TOTTR,TRPDUR,TRPDIST_HN,OZIP,DNYC,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
179,179,30007510104,3000751,1,4,1,3,0,9,0,1.0,1,60,45.19,11706,1,2,1,19,11,,1,1,1,1,2,2,1,4,6.0,6.0,2,3
181,181,30007510202,3000751,2,2,1,3,0,9,10,1.0,1,20,16.39,11706,0,2,1,19,11,,1,1,1,1,1,1,1,3,4.0,5.0,2,3
182,182,30007510203,3000751,2,3,0,3,1,3,0,1.0,1,20,18.59,11746,0,2,1,19,11,,1,1,1,1,3,3,1,3,4.0,5.0,2,3
523,523,30021830102,3002183,1,2,1,2,0,9,0,2.1,2,70,42.97,11727,0,2,1,19,11,,1,1,1,1,1,1,2,4,6.0,6.0,4,2
524,524,30021830103,3002183,1,3,0,2,0,97,0,1.0,1,52,9.85,11040,1,2,1,19,11,,1,1,1,1,3,3,1,4,4.0,5.0,4,2
526,526,30021830202,3002183,2,2,1,2,0,9,0,6.2,2,173,59.8,11727,1,2,1,12,7,,2,2,2,1,1,1,2,5,6.0,6.0,4,2
627,627,30027890202,3002789,2,2,1,2,0,9,0,7.0,1,135,0.0,11758,1,2,1,6,3,4.0,2,2,2,1,1,1,1,5,6.0,6.0,4,2
657,657,30030040102,3003004,1,2,1,4,0,9,0,2.2,2,17,2.85,11795,0,2,1,17,10,,1,1,1,1,5,4,2,2,2.0,3.0,4,2
658,658,30030040104,3003004,1,4,0,4,0,21,0,7.0,1,56,29.36,11702,1,2,1,6,3,,2,2,2,1,2,2,1,4,6.0,6.0,4,2
662,662,30030040204,3003004,2,4,1,4,0,9,0,1.0,1,5,0.96,11795,0,2,1,19,11,,1,1,1,1,1,1,1,1,1.0,2.0,4,2
663,663,30030040205,3003004,2,5,0,4,1,3,0,1.0,1,5,0.95,11795,0,2,1,19,11,,1,1,1,1,2,2,1,1,1.0,2.0,4,2
664,664,30030040206,3003004,2,6,1,4,0,9,0,1.0,1,5,0.96,11795,0,2,1,19,11,,1,1,1,1,2,2,1,1,1.0,2.0,4,2
665,665,30030040207,3003004,2,7,0,4,1,3,0,1.0,1,6,0.95,11795,0,2,1,19,11,,1,1,1,1,2,2,1,1,1.0,2.0,4,2
675,675,30030040307,3003004,3,7,1,4,0,9,0,1.0,1,12,1.44,11795,0,2,1,19,11,,1,1,1,1,2,2,1,2,2.0,3.0,4,2
676,676,30030040308,3003004,3,8,0,4,0,10,25,9.0,1,17,4.38,11795,0,2,1,1,1,,3,2,2,1,3,3,1,2,3.0,4.0,4,2
677,677,30030040309,3003004,3,9,0,4,1,3,0,9.0,1,23,3.84,11704,0,2,1,1,1,,3,2,2,1,3,3,1,3,4.0,5.0,4,2
681,681,30030340102,3003034,1,2,1,1,0,9,0,7.1,1,75,26.83,11510,1,2,1,6,3,2.0,2,2,2,1,1,1,1,4,6.0,6.0,3,1
834,834,30034210102,3003421,1,2,1,3,0,9,0,1.0,1,20,12.01,11803,0,2,1,19,11,,1,1,1,1,1,1,1,3,4.0,5.0,4,3
835,835,30034210103,3003421,1,3,0,3,1,3,0,1.0,1,20,11.96,11725,0,2,1,19,11,,1,1,1,1,2,2,1,3,4.0,5.0,4,3
838,838,30034210205,3003421,2,5,1,3,0,9,0,1.0,1,22,6.21,11803,0,2,1,19,11,,1,1,1,1,2,2,1,3,3.0,4.0,4,3
839,839,30034210206,3003421,2,6,0,3,1,3,0,1.0,1,34,6.21,11746,0,2,1,19,11,,1,1,1,1,4,4,1,3,3.0,4.0,4,3
982,982,30039400102,3003940,1,2,1,2,0,9,0,1.0,1,35,13.76,11710,0,2,1,19,11,,1,1,1,1,1,1,1,3,5.0,6.0,2,2
983,983,30039400103,3003940,1,3,0,2,1,3,0,1.0,1,32,13.88,11040,0,2,1,19,11,,1,1,1,1,2,2,1,3,5.0,6.0,2,2
1163,1163,30048290202,3004829,2,2,1,2,0,9,0,1.0,1,30,0.0,11566,0,2,1,19,11,,1,1,1,1,1,1,1,3,4.0,5.0,4,3
1164,1164,30048290203,3004829,2,3,0,2,1,3,0,1.0,1,30,0.0,11735,0,2,1,19,11,,1,1,1,1,2,2,1,3,4.0,5.0,4,3
1174,1174,30048340111,3004834,1,11,1,2,0,14,0,1.0,1,30,13.5,11769,0,2,1,19,11,,1,1,1,1,3,3,1,3,5.0,6.0,4,2
1175,1175,30048340112,3004834,1,12,0,2,1,3,0,1.0,1,36,14.76,11719,0,2,1,19,11,,1,1,1,1,3,3,1,3,5.0,6.0,4,2
1176,1176,30048340202,3004834,2,2,1,2,0,9,0,2.2,2,43,30.79,11769,0,2,1,17,10,,1,1,1,1,1,1,2,3,6.0,6.0,4,2
1177,1177,30048340203,3004834,2,3,0,2,1,3,0,2.2,2,50,30.49,11771,0,2,1,17,10,,1,1,1,1,2,2,2,4,6.0,6.0,4,2
