,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,PLSAM,SAMPN,PERNO,PLANO,HHSIZE,TRPDUR,TRPDIST_HN,DNYC,PMODE,TOTTR_R,INCOM_R,HHVEH_R
0,0,179,179,30007510104,3000751,1,4,3,60,45.19,1,19,1,2,3
1,1,181,181,30007510202,3000751,2,2,3,20,16.39,0,19,1,2,3
2,2,182,182,30007510203,3000751,2,3,3,20,18.59,0,19,1,2,3
3,3,523,523,30021830102,3002183,1,2,2,70,42.97,0,19,2,4,2
4,4,524,524,30021830103,3002183,1,3,2,52,9.85,1,19,1,4,2
5,5,526,526,30021830202,3002183,2,2,2,173,59.8,1,12,2,4,2
6,6,627,627,30027890202,3002789,2,2,2,135,0.0,1,6,1,4,2
7,7,657,657,30030040102,3003004,1,2,4,17,2.85,0,17,2,4,2
8,8,658,658,30030040104,3003004,1,4,4,56,29.36,1,6,1,4,2
9,9,662,662,30030040204,3003004,2,4,4,5,0.96,0,19,1,4,2
10,10,663,663,30030040205,3003004,2,5,4,5,0.95,0,19,1,4,2
11,11,664,664,30030040206,3003004,2,6,4,5,0.96,0,19,1,4,2
12,12,665,665,30030040207,3003004,2,7,4,6,0.95,0,19,1,4,2
13,13,675,675,30030040307,3003004,3,7,4,12,1.44,0,19,1,4,2
14,14,676,676,30030040308,3003004,3,8,4,17,4.38,0,1,1,4,2
15,15,677,677,30030040309,3003004,3,9,4,23,3.84,0,1,1,4,2
16,16,681,681,30030340102,3003034,1,2,1,75,26.83,1,6,1,3,1
17,17,834,834,30034210102,3003421,1,2,3,20,12.01,0,19,1,4,3
18,18,835,835,30034210103,3003421,1,3,3,20,11.96,0,19,1,4,3
19,19,838,838,30034210205,3003421,2,5,3,22,6.21,0,19,1,4,3
20,20,839,839,30034210206,3003421,2,6,3,34,6.21,0,19,1,4,3
21,21,982,982,30039400102,3003940,1,2,2,35,13.76,0,19,1,2,2
22,22,983,983,30039400103,3003940,1,3,2,32,13.88,0,19,1,2,2
23,23,1163,1163,30048290202,3004829,2,2,2,30,0.0,0,19,1,4,3
24,24,1164,1164,30048290203,3004829,2,3,2,30,0.0,0,19,1,4,3
25,25,1174,1174,30048340111,3004834,1,11,2,30,13.5,0,19,1,4,2
26,26,1175,1175,30048340112,3004834,1,12,2,36,14.76,0,19,1,4,2
27,27,1176,1176,30048340202,3004834,2,2,2,43,30.79,0,17,2,4,2
28,28,1177,1177,30048340203,3004834,2,3,2,50,30.49,0,17,2,4,2
29,29,1222,1222,30049180302,3004918,3,2,3,50,38.22,0,19,1,4,3
30,30,1223,1223,30049180303,3004918,3,3,3,30,16.89,0,19,1,4,3
31,31,1224,1224,30049180304,3004918,3,4,3,45,22.06,0,19,1,4,3
32,32,1231,1231,30049700202,3004970,2,2,3,18,7.18,0,19,1,4,2
33,33,1232,1232,30049700203,3004970,2,3,3,16,7.18,0,19,1,4,2
34,34,1405,1405,30055930204,3005593,2,4,4,4,4.29,0,19,2,3,2
35,35,1406,1406,30055930205,3005593,2,5,4,30,21.28,0,19,1,3,2
36,36,1407,1407,30055930206,3005593,2,6,4,41,20.14,0,19,1,3,2
37,37,1432,1432,30057730102,3005773,1,2,3,79,27.3,1,6,1,4,2
38,38,1434,1434,30057730302,3005773,3,2,3,45,4.92,0,15,1,4,2
39,39,1435,1435,30057730305,3005773,3,5,3,25,4.86,0,17,2,4,2
40,40,1511,1511,30062150102,3006215,1,2,3,17,3.88,0,19,2,4,2
41,41,1512,1512,30062150103,3006215,1,3,3,25,9.41,0,19,1,4,2
42,42,1513,1513,30062150104,3006215,1,4,3,37,13.74,0,19,1,4,2
43,43,1516,1516,30062150202,3006215,2,2,3,45,31.28,1,19,1,4,2
44,44,2040,2040,30085550102,3008555,1,2,1,10,1.2,0,5,2,3,1
45,45,2041,2041,30085550103,3008555,1,3,1,59,25.94,1,6,1,3,1
46,46,2045,2045,30085550107,3008555,1,7,1,82,48.52,1,6,1,3,1
47,47,2049,2049,30085550111,3008555,1,11,1,23,1.2,0,15,1,3,1
48,48,2356,2356,30100570102,3010057,1,2,4,35,15.86,0,19,1,4,2
49,49,2357,2357,30100570103,3010057,1,3,4,45,15.38,0,19,1,4,2
50,50,2358,2358,30100570202,3010057,2,2,4,13,4.44,0,19,1,4,2
51,51,2359,2359,30100570203,3010057,2,3,4,9,0.66,0,19,1,4,2
52,52,2360,2360,30100570204,3010057,2,4,4,3,0.66,0,19,1,4,2
53,53,2361,2361,30100570205,3010057,2,5,4,14,4.44,0,19,1,4,2
54,54,2403,2403,30101490102,3010149,1,2,3,45,11.28,1,19,1,4,3
55,55,2507,2507,30106560102,3010656,1,2,1,12,11.6,0,19,1,4,1
56,56,2508,2508,30106560103,3010656,1,3,1,14,6.5,0,19,1,4,1
57,57,2509,2509,30106560104,3010656,1,4,1,57,14.82,0,19,1,4,1
58,58,2510,2510,30106560105,3010656,1,5,1,8,3.38,0,19,1,4,1
59,59,2511,2511,30106560106,3010656,1,6,1,18,0.0,0,19,1,4,1
60,60,2512,2512,30106560107,3010656,1,7,1,16,0.0,0,19,1,4,1
61,61,2606,2606,30111420202,3011142,2,2,2,25,16.29,0,19,1,4,2
62,62,2607,2607,30111420203,3011142,2,3,2,30,16.64,0,19,1,4,2
63,63,2709,2709,30116090308,3011609,3,8,3,34,20.54,1,19,1,4,2
64,64,2896,2896,30125240202,3012524,2,2,2,21,15.38,0,19,1,3,2
65,65,2897,2897,30125240203,3012524,2,3,2,5,0.81,0,23,1,3,2
