,HHSIZE,TRPDUR,TRPDIST_HN,DNYC,PMODE,TOTTR_R,INCOM_R,HHVEH_R
0,3,60,45.19,1,19,1,2,3
1,3,20,16.39,0,19,1,2,3
2,3,20,18.59,0,19,1,2,3
3,2,70,42.97,0,19,2,4,2
4,2,52,9.85,1,19,1,4,2
5,2,173,59.8,1,12,2,4,2
6,2,135,0.0,1,6,1,4,2
7,4,17,2.85,0,17,2,4,2
8,4,56,29.36,1,6,1,4,2
9,4,5,0.96,0,19,1,4,2
10,4,5,0.95,0,19,1,4,2
11,4,5,0.96,0,19,1,4,2
12,4,6,0.95,0,19,1,4,2
13,4,12,1.44,0,19,1,4,2
16,1,75,26.83,1,6,1,3,1
17,3,20,12.01,0,19,1,4,3
18,3,20,11.96,0,19,1,4,3
19,3,22,6.21,0,19,1,4,3
20,3,34,6.21,0,19,1,4,3
21,2,35,13.76,0,19,1,2,2
22,2,32,13.88,0,19,1,2,2
23,2,30,0.0,0,19,1,4,3
24,2,30,0.0,0,19,1,4,3
25,2,30,13.5,0,19,1,4,2
26,2,36,14.76,0,19,1,4,2
27,2,43,30.79,0,17,2,4,2
28,2,50,30.49,0,17,2,4,2
29,3,50,38.22,0,19,1,4,3
30,3,30,16.89,0,19,1,4,3
31,3,45,22.06,0,19,1,4,3
32,3,18,7.18,0,19,1,4,2
33,3,16,7.18,0,19,1,4,2
34,4,4,4.29,0,19,2,3,2
35,4,30,21.28,0,19,1,3,2
36,4,41,20.14,0,19,1,3,2
37,3,79,27.3,1,6,1,4,2
38,3,45,4.92,0,15,1,4,2
39,3,25,4.86,0,17,2,4,2
40,3,17,3.88,0,19,2,4,2
41,3,25,9.41,0,19,1,4,2
42,3,37,13.74,0,19,1,4,2
43,3,45,31.28,1,19,1,4,2
44,1,10,1.2,0,5,2,3,1
45,1,59,25.94,1,6,1,3,1
46,1,82,48.52,1,6,1,3,1
47,1,23,1.2,0,15,1,3,1
48,4,35,15.86,0,19,1,4,2
49,4,45,15.38,0,19,1,4,2
50,4,13,4.44,0,19,1,4,2
51,4,9,0.66,0,19,1,4,2
52,4,3,0.66,0,19,1,4,2
53,4,14,4.44,0,19,1,4,2
54,3,45,11.28,1,19,1,4,3
55,1,12,11.6,0,19,1,4,1
56,1,14,6.5,0,19,1,4,1
57,1,57,14.82,0,19,1,4,1
58,1,8,3.38,0,19,1,4,1
59,1,18,0.0,0,19,1,4,1
60,1,16,0.0,0,19,1,4,1
61,2,25,16.29,0,19,1,4,2
62,2,30,16.64,0,19,1,4,2
63,3,34,20.54,1,19,1,4,2
64,2,21,15.38,0,19,1,3,2
65,2,5,0.81,0,23,1,3,2
66,2,65,40.74,1,19,1,3,2
67,1,116,38.23,1,6,1,4,1
68,2,15,5.33,0,19,1,1,1
69,2,15,5.3,0,19,1,1,1
70,3,25,5.64,0,17,2,4,3
71,3,12,7.3,0,19,1,4,3
72,3,15,7.31,0,19,1,4,3
73,3,25,5.31,0,17,2,4,3
74,3,10,3.01,0,17,2,4,3
75,3,25,5.64,0,19,2,4,3
76,3,25,5.31,0,19,2,4,3
77,3,10,3.01,0,19,2,4,3
78,3,85,43.65,0,19,1,4,3
79,3,90,43.79,0,19,1,4,3
80,4,80,61.35,1,19,1,4,2
81,4,25,10.67,0,19,2,4,2
82,4,5,4.19,0,19,3,4,2
83,4,19,2.82,0,19,1,4,2
84,4,21,16.15,0,19,1,4,2
85,4,30,13.45,0,19,2,4,2
86,4,24,10.67,0,19,1,4,2
87,2,1,0.44,0,19,1,4,1
88,2,2,0.44,0,19,1,4,1
89,2,6,0.44,0,19,1,4,1
90,2,17,6.75,0,19,1,4,1
91,2,15,6.74,0,19,1,4,1
92,1,46,36.98,0,19,1,2,1
93,1,49,37.53,0,19,1,2,1
94,1,31,14.92,0,19,1,2,1
95,1,28,15.03,0,19,1,2,1
96,5,40,19.38,0,18,1,4,3
97,5,30,20.08,0,18,1,4,3
98,5,10,3.03,0,19,3,4,3
99,5,35,9.21,0,19,1,4,3
100,5,30,6.89,0,19,2,4,3
101,5,15,4.69,0,19,2,4,3
102,5,15,0.0,0,19,1,4,3
103,5,5,0.0,0,19,1,4,3
104,5,5,1.41,0,19,1,4,3
105,5,40,13.86,0,19,1,4,3
106,5,10,3.34,0,19,1,4,3
107,5,5,2.97,0,19,3,4,3
108,2,5,1.77,0,19,1,2,2
109,2,8,1.84,0,19,1,2,2
110,2,30,10.8,0,19,1,2,2
111,2,15,10.47,0,19,1,2,2
112,1,20,6.86,0,19,1,2,1
113,1,15,6.86,0,19,1,2,1
114,4,55,20.81,1,6,1,4,2
115,4,5,1.27,0,19,1,4,2
116,4,5,1.27,0,19,1,4,2
117,4,5,1.27,0,19,1,4,2
118,4,5,2.46,0,19,1,4,2
119,4,5,1.77,0,19,1,4,2
120,4,10,1.27,0,19,1,4,2
121,4,25,1.01,0,19,1,4,2
122,4,5,0.98,0,19,1,4,2
123,4,5,2.46,0,19,1,4,2
124,4,5,0.41,0,19,2,4,2
125,4,12,1.77,0,19,3,4,2
126,1,125,39.02,1,19,1,2,2
127,1,22,14.73,0,19,1,2,2
128,1,27,15.34,0,19,1,2,2
129,2,45,0.0,0,19,1,4,2
130,2,20,12.05,0,19,1,4,2
131,2,60,37.21,0,19,1,4,2
132,2,15,2.62,0,19,1,4,2
133,2,30,6.55,0,19,1,4,2
134,2,50,28.86,0,19,1,4,2
135,2,30,12.05,0,19,1,4,2
136,2,30,25.64,0,19,1,4,2
137,2,30,0.0,0,19,1,4,2
138,4,15,7.81,0,19,1,9,3
139,4,22,7.81,0,19,1,9,3
140,5,5,0.37,0,19,2,3,3
141,5,18,7.91,0,19,1,3,3
142,5,30,7.78,0,19,1,3,3
143,5,5,0.37,0,19,2,3,3
144,5,105,33.56,1,19,1,3,3
145,3,40,12.2,0,19,1,2,3
146,3,60,9.81,0,19,1,2,3
147,3,50,14.06,0,19,1,2,3
148,3,10,7.67,0,19,1,1,2
149,3,15,7.5,0,19,1,1,2
150,2,20,7.03,0,19,1,4,2
151,2,22,7.03,0,19,1,4,2
152,4,30,7.29,0,19,1,4,2
153,4,30,7.29,0,19,1,4,2
154,2,23,10.84,0,19,1,9,2
155,2,28,14.25,0,19,1,9,2
156,2,57,7.35,0,19,1,9,2
157,3,98,21.51,1,6,1,4,3
158,3,41,16.73,1,19,1,4,3
159,3,10,1.72,0,19,1,4,3
160,3,9,1.72,0,19,1,4,3
161,2,9,0.77,0,19,1,2,2
162,2,29,19.74,0,19,1,2,2
163,2,4,0.75,0,19,1,2,2
164,2,26,18.69,0,19,1,2,2
165,2,30,17.44,0,19,2,3,3
166,2,45,17.91,0,19,1,3,3
167,2,40,21.51,0,17,2,3,3
168,2,40,22.15,0,19,1,3,3
169,1,40,26.31,0,19,1,2,1
170,1,35,25.85,0,19,1,2,1
171,2,24,9.03,0,19,1,4,2
172,2,30,9.07,0,19,1,4,2
173,4,18,0.0,0,19,1,4,3
174,4,5,0.0,0,19,1,4,3
175,4,21,9.64,0,19,1,4,3
176,2,40,2.16,0,19,1,2,2
177,2,5,2.16,0,19,1,2,2
178,2,5,2.16,0,19,1,2,2
179,2,5,2.16,0,19,1,2,2
180,2,15,14.84,0,19,1,2,2
181,2,15,14.31,0,19,1,2,2
182,1,60,40.88,1,19,1,2,1
183,2,18,8.71,0,19,1,4,2
184,2,17,6.61,0,19,1,4,2
185,2,3,0.0,0,19,1,4,2
186,2,40,0.0,0,19,1,4,2
187,2,6,2.16,0,19,1,4,2
188,2,2,0.36,0,19,1,4,2
189,2,20,15.02,0,19,1,4,2
190,2,6,3.0,0,19,1,4,2
191,2,9,3.02,0,19,1,4,2
192,2,22,15.61,0,19,1,4,2
193,2,1,0.36,0,19,1,4,2
194,2,2,0.36,0,19,1,4,2
195,2,10,2.16,0,19,1,4,2
196,4,4,2.08,0,19,1,4,2
197,4,3,2.37,0,19,1,4,2
198,2,15,2.47,0,19,1,2,2
199,2,9,0.0,0,19,2,2,2
200,2,3,0.0,0,19,2,2,2
201,2,5,0.0,0,19,2,2,2
202,2,15,0.0,0,19,2,2,2
203,2,9,2.54,0,19,1,2,2
204,2,15,3.47,0,19,1,4,2
205,2,15,3.47,0,19,1,4,2
206,4,15,4.2,0,19,1,2,3
207,4,16,4.34,0,19,1,2,3
208,4,17,4.47,0,19,1,2,3
209,4,15,4.47,0,19,1,2,3
210,4,15,4.47,0,19,1,2,3
211,4,18,4.47,0,19,1,2,3
212,1,15,3.43,0,19,1,2,2
213,1,15,2.64,0,19,1,2,2
214,1,10,1.3,0,19,1,2,2
215,3,37,21.25,0,19,1,2,1
216,3,27,20.63,0,19,1,2,1
217,3,29,20.86,0,19,1,2,1
218,3,58,2.48,0,19,1,2,1
219,3,33,20.99,0,19,1,2,1
220,1,109,0.0,1,6,1,4,3
221,2,25,7.82,0,19,1,4,2
222,2,25,7.83,0,19,1,4,2
223,2,35,27.97,0,19,1,4,2
