,PMODE,TOTTR_R,INCOM_R,HHVEH_R,DNYC,HHSIZE,TRPDUR,TRPDIST_HN
0,19,1,2,3,1,3,60,45.19
1,19,1,2,3,0,3,20,16.39
2,19,1,2,3,0,3,20,18.59
3,19,2,4,2,0,2,70,42.97
4,19,1,4,2,1,2,52,9.85
5,12,2,4,2,1,2,173,59.8
6,6,1,4,2,1,2,135,0.0
7,17,2,4,2,0,4,17,2.85
8,6,1,4,2,1,4,56,29.36
9,19,1,4,2,0,4,5,0.96
10,19,1,4,2,0,4,5,0.95
11,19,1,4,2,0,4,5,0.96
12,19,1,4,2,0,4,6,0.95
13,19,1,4,2,0,4,12,1.44
16,6,1,3,1,1,1,75,26.83
17,19,1,4,3,0,3,20,12.01
18,19,1,4,3,0,3,20,11.96
19,19,1,4,3,0,3,22,6.21
20,19,1,4,3,0,3,34,6.21
21,19,1,2,2,0,2,35,13.76
22,19,1,2,2,0,2,32,13.88
23,19,1,4,3,0,2,30,0.0
24,19,1,4,3,0,2,30,0.0
25,19,1,4,2,0,2,30,13.5
26,19,1,4,2,0,2,36,14.76
27,17,2,4,2,0,2,43,30.79
28,17,2,4,2,0,2,50,30.49
29,19,1,4,3,0,3,50,38.22
30,19,1,4,3,0,3,30,16.89
31,19,1,4,3,0,3,45,22.06
32,19,1,4,2,0,3,18,7.18
33,19,1,4,2,0,3,16,7.18
34,19,2,3,2,0,4,4,4.29
35,19,1,3,2,0,4,30,21.28
36,19,1,3,2,0,4,41,20.14
37,6,1,4,2,1,3,79,27.3
38,15,1,4,2,0,3,45,4.92
39,17,2,4,2,0,3,25,4.86
40,19,2,4,2,0,3,17,3.88
41,19,1,4,2,0,3,25,9.41
42,19,1,4,2,0,3,37,13.74
43,19,1,4,2,1,3,45,31.28
44,5,2,3,1,0,1,10,1.2
45,6,1,3,1,1,1,59,25.94
46,6,1,3,1,1,1,82,48.52
47,15,1,3,1,0,1,23,1.2
48,19,1,4,2,0,4,35,15.86
49,19,1,4,2,0,4,45,15.38
50,19,1,4,2,0,4,13,4.44
51,19,1,4,2,0,4,9,0.66
52,19,1,4,2,0,4,3,0.66
53,19,1,4,2,0,4,14,4.44
54,19,1,4,3,1,3,45,11.28
55,19,1,4,1,0,1,12,11.6
56,19,1,4,1,0,1,14,6.5
57,19,1,4,1,0,1,57,14.82
58,19,1,4,1,0,1,8,3.38
59,19,1,4,1,0,1,18,0.0
60,19,1,4,1,0,1,16,0.0
61,19,1,4,2,0,2,25,16.29
62,19,1,4,2,0,2,30,16.64
63,19,1,4,2,1,3,34,20.54
64,19,1,3,2,0,2,21,15.38
65,23,1,3,2,0,2,5,0.81
66,19,1,3,2,1,2,65,40.74
67,6,1,4,1,1,1,116,38.23
68,19,1,1,1,0,2,15,5.33
69,19,1,1,1,0,2,15,5.3
70,17,2,4,3,0,3,25,5.64
71,19,1,4,3,0,3,12,7.3
72,19,1,4,3,0,3,15,7.31
73,17,2,4,3,0,3,25,5.31
74,17,2,4,3,0,3,10,3.01
75,19,2,4,3,0,3,25,5.64
76,19,2,4,3,0,3,25,5.31
77,19,2,4,3,0,3,10,3.01
78,19,1,4,3,0,3,85,43.65
79,19,1,4,3,0,3,90,43.79
80,19,1,4,2,1,4,80,61.35
81,19,2,4,2,0,4,25,10.67
82,19,3,4,2,0,4,5,4.19
83,19,1,4,2,0,4,19,2.82
84,19,1,4,2,0,4,21,16.15
85,19,2,4,2,0,4,30,13.45
86,19,1,4,2,0,4,24,10.67
87,19,1,4,1,0,2,1,0.44
88,19,1,4,1,0,2,2,0.44
89,19,1,4,1,0,2,6,0.44
90,19,1,4,1,0,2,17,6.75
91,19,1,4,1,0,2,15,6.74
92,19,1,2,1,0,1,46,36.98
93,19,1,2,1,0,1,49,37.53
94,19,1,2,1,0,1,31,14.92
95,19,1,2,1,0,1,28,15.03
96,18,1,4,3,0,5,40,19.38
97,18,1,4,3,0,5,30,20.08
98,19,3,4,3,0,5,10,3.03
99,19,1,4,3,0,5,35,9.21
100,19,2,4,3,0,5,30,6.89
101,19,2,4,3,0,5,15,4.69
102,19,1,4,3,0,5,15,0.0
103,19,1,4,3,0,5,5,0.0
104,19,1,4,3,0,5,5,1.41
105,19,1,4,3,0,5,40,13.86
106,19,1,4,3,0,5,10,3.34
107,19,3,4,3,0,5,5,2.97
108,19,1,2,2,0,2,5,1.77
109,19,1,2,2,0,2,8,1.84
110,19,1,2,2,0,2,30,10.8
111,19,1,2,2,0,2,15,10.47
112,19,1,2,1,0,1,20,6.86
113,19,1,2,1,0,1,15,6.86
114,6,1,4,2,1,4,55,20.81
115,19,1,4,2,0,4,5,1.27
116,19,1,4,2,0,4,5,1.27
117,19,1,4,2,0,4,5,1.27
118,19,1,4,2,0,4,5,2.46
119,19,1,4,2,0,4,5,1.77
120,19,1,4,2,0,4,10,1.27
121,19,1,4,2,0,4,25,1.01
122,19,1,4,2,0,4,5,0.98
123,19,1,4,2,0,4,5,2.46
124,19,2,4,2,0,4,5,0.41
125,19,3,4,2,0,4,12,1.77
126,19,1,2,2,1,1,125,39.02
127,19,1,2,2,0,1,22,14.73
128,19,1,2,2,0,1,27,15.34
129,19,1,4,2,0,2,45,0.0
130,19,1,4,2,0,2,20,12.05
131,19,1,4,2,0,2,60,37.21
132,19,1,4,2,0,2,15,2.62
133,19,1,4,2,0,2,30,6.55
134,19,1,4,2,0,2,50,28.86
135,19,1,4,2,0,2,30,12.05
136,19,1,4,2,0,2,30,25.64
137,19,1,4,2,0,2,30,0.0
138,19,1,9,3,0,4,15,7.81
139,19,1,9,3,0,4,22,7.81
140,19,2,3,3,0,5,5,0.37
141,19,1,3,3,0,5,18,7.91
142,19,1,3,3,0,5,30,7.78
143,19,2,3,3,0,5,5,0.37
144,19,1,3,3,1,5,105,33.56
145,19,1,2,3,0,3,40,12.2
146,19,1,2,3,0,3,60,9.81
147,19,1,2,3,0,3,50,14.06
148,19,1,1,2,0,3,10,7.67
149,19,1,1,2,0,3,15,7.5
150,19,1,4,2,0,2,20,7.03
151,19,1,4,2,0,2,22,7.03
152,19,1,4,2,0,4,30,7.29
153,19,1,4,2,0,4,30,7.29
154,19,1,9,2,0,2,23,10.84
155,19,1,9,2,0,2,28,14.25
156,19,1,9,2,0,2,57,7.35
157,6,1,4,3,1,3,98,21.51
158,19,1,4,3,1,3,41,16.73
159,19,1,4,3,0,3,10,1.72
160,19,1,4,3,0,3,9,1.72
161,19,1,2,2,0,2,9,0.77
162,19,1,2,2,0,2,29,19.74
163,19,1,2,2,0,2,4,0.75
164,19,1,2,2,0,2,26,18.69
165,19,2,3,3,0,2,30,17.44
166,19,1,3,3,0,2,45,17.91
167,17,2,3,3,0,2,40,21.51
168,19,1,3,3,0,2,40,22.15
169,19,1,2,1,0,1,40,26.31
170,19,1,2,1,0,1,35,25.85
171,19,1,4,2,0,2,24,9.03
172,19,1,4,2,0,2,30,9.07
173,19,1,4,3,0,4,18,0.0
174,19,1,4,3,0,4,5,0.0
175,19,1,4,3,0,4,21,9.64
176,19,1,2,2,0,2,40,2.16
177,19,1,2,2,0,2,5,2.16
178,19,1,2,2,0,2,5,2.16
179,19,1,2,2,0,2,5,2.16
180,19,1,2,2,0,2,15,14.84
181,19,1,2,2,0,2,15,14.31
182,19,1,2,1,1,1,60,40.88
183,19,1,4,2,0,2,18,8.71
184,19,1,4,2,0,2,17,6.61
185,19,1,4,2,0,2,3,0.0
186,19,1,4,2,0,2,40,0.0
187,19,1,4,2,0,2,6,2.16
188,19,1,4,2,0,2,2,0.36
189,19,1,4,2,0,2,20,15.02
190,19,1,4,2,0,2,6,3.0
191,19,1,4,2,0,2,9,3.02
192,19,1,4,2,0,2,22,15.61
193,19,1,4,2,0,2,1,0.36
194,19,1,4,2,0,2,2,0.36
195,19,1,4,2,0,2,10,2.16
196,19,1,4,2,0,4,4,2.08
197,19,1,4,2,0,4,3,2.37
198,19,1,2,2,0,2,15,2.47
199,19,2,2,2,0,2,9,0.0
200,19,2,2,2,0,2,3,0.0
201,19,2,2,2,0,2,5,0.0
202,19,2,2,2,0,2,15,0.0
203,19,1,2,2,0,2,9,2.54
204,19,1,4,2,0,2,15,3.47
205,19,1,4,2,0,2,15,3.47
206,19,1,2,3,0,4,15,4.2
207,19,1,2,3,0,4,16,4.34
208,19,1,2,3,0,4,17,4.47
209,19,1,2,3,0,4,15,4.47
210,19,1,2,3,0,4,15,4.47
211,19,1,2,3,0,4,18,4.47
212,19,1,2,2,0,1,15,3.43
213,19,1,2,2,0,1,15,2.64
214,19,1,2,2,0,1,10,1.3
215,19,1,2,1,0,3,37,21.25
216,19,1,2,1,0,3,27,20.63
217,19,1,2,1,0,3,29,20.86
218,19,1,2,1,0,3,58,2.48
219,19,1,2,1,0,3,33,20.99
220,6,1,4,3,1,1,109,0.0
221,19,1,4,2,0,2,25,7.82
222,19,1,4,2,0,2,25,7.83
223,19,1,4,2,0,2,35,27.97
224,19,1,4,2,0,2,52,28.1
225,19,1,3,1,0,1,11,6.91
226,19,1,3,1,0,1,12,9.96
