,HHSIZE,TRPDUR,TRPDIST_HN,DNYC,PMODE,TOTTR_R,INCOM_R,HHVEH_R,GENDER,AGE_R,LIC
0,3,60,45.19,1,19,1,2,3,Female,35-54 years,Yes
1,3,20,16.39,0,19,1,2,3,Male,35-54 years,Yes
2,3,20,18.59,0,19,1,2,3,Male,35-54 years,Yes
3,2,70,42.97,0,19,2,4,2,Male,55-64 years,Yes
4,2,52,9.85,1,19,1,4,2,Male,55-64 years,Yes
5,2,173,59.8,1,12,2,4,2,Female,65 years or older,No
6,2,135,0.0,1,6,1,4,2,Male,55-64 years,Yes
7,4,17,2.85,0,17,2,4,2,Male,35-54 years,Yes
8,4,56,29.36,1,6,1,4,2,Male,35-54 years,Yes
9,4,5,0.96,0,19,1,4,2,Female,35-54 years,Yes
10,4,5,0.95,0,19,1,4,2,Female,35-54 years,Yes
11,4,5,0.96,0,19,1,4,2,Female,35-54 years,Yes
12,4,6,0.95,0,19,1,4,2,Female,35-54 years,Yes
13,4,12,1.44,0,19,1,4,2,Female,16-18 years,Yes
14,4,17,4.38,0,1,1,4,2,Female,16-18 years,Yes
15,4,23,3.84,0,1,1,4,2,Female,16-18 years,Yes
16,1,75,26.83,1,6,1,3,1,Male,35-54 years,Yes
17,3,20,12.01,0,19,1,4,3,Female,55-64 years,Yes
18,3,20,11.96,0,19,1,4,3,Female,55-64 years,Yes
19,3,22,6.21,0,19,1,4,3,Male,55-64 years,Yes
20,3,34,6.21,0,19,1,4,3,Male,55-64 years,Yes
21,2,35,13.76,0,19,1,2,2,Female,55-64 years,Yes
22,2,32,13.88,0,19,1,2,2,Female,55-64 years,Yes
23,2,30,0.0,0,19,1,4,3,Male,55-64 years,Yes
24,2,30,0.0,0,19,1,4,3,Male,55-64 years,Yes
25,2,30,13.5,0,19,1,4,2,Male,65 years or older,Yes
26,2,36,14.76,0,19,1,4,2,Male,65 years or older,Yes
27,2,43,30.79,0,17,2,4,2,Female,55-64 years,Yes
28,2,50,30.49,0,17,2,4,2,Female,55-64 years,Yes
29,3,50,38.22,0,19,1,4,3,Male,35-54 years,Yes
30,3,30,16.89,0,19,1,4,3,Male,35-54 years,Yes
31,3,45,22.06,0,19,1,4,3,Male,35-54 years,Yes
32,3,18,7.18,0,19,1,4,2,Male,35-54 years,Yes
33,3,16,7.18,0,19,1,4,2,Male,35-54 years,Yes
34,4,4,4.29,0,19,2,3,2,Male,35-54 years,Yes
35,4,30,21.28,0,19,1,3,2,Male,35-54 years,Yes
36,4,41,20.14,0,19,1,3,2,Male,35-54 years,Yes
37,3,79,27.3,1,6,1,4,2,Male,55-64 years,Yes
38,3,45,4.92,0,15,1,4,2,Male,25-34 years,No
39,3,25,4.86,0,17,2,4,2,Male,25-34 years,No
40,3,17,3.88,0,19,2,4,2,Male,25-34 years,Yes
41,3,25,9.41,0,19,1,4,2,Male,25-34 years,Yes
42,3,37,13.74,0,19,1,4,2,Male,25-34 years,Yes
43,3,45,31.28,1,19,1,4,2,Female,25-34 years,Yes
44,1,10,1.2,0,5,2,3,1,Male,55-64 years,Yes
45,1,59,25.94,1,6,1,3,1,Male,55-64 years,Yes
46,1,82,48.52,1,6,1,3,1,Male,55-64 years,Yes
47,1,23,1.2,0,15,1,3,1,Male,55-64 years,Yes
48,4,35,15.86,0,19,1,4,2,Female,35-54 years,Yes
49,4,45,15.38,0,19,1,4,2,Female,35-54 years,Yes
50,4,13,4.44,0,19,1,4,2,Male,35-54 years,Yes
51,4,9,0.66,0,19,1,4,2,Male,35-54 years,Yes
52,4,3,0.66,0,19,1,4,2,Male,35-54 years,Yes
53,4,14,4.44,0,19,1,4,2,Male,35-54 years,Yes
54,3,45,11.28,1,19,1,4,3,Female,35-54 years,Yes
55,1,12,11.6,0,19,1,4,1,Male,55-64 years,Yes
56,1,14,6.5,0,19,1,4,1,Male,55-64 years,Yes
57,1,57,14.82,0,19,1,4,1,Male,55-64 years,Yes
58,1,8,3.38,0,19,1,4,1,Male,55-64 years,Yes
59,1,18,0.0,0,19,1,4,1,Male,55-64 years,Yes
60,1,16,0.0,0,19,1,4,1,Male,55-64 years,Yes
61,2,25,16.29,0,19,1,4,2,Female,35-54 years,Yes
62,2,30,16.64,0,19,1,4,2,Female,35-54 years,Yes
63,3,34,20.54,1,19,1,4,2,Male,25-34 years,Yes
64,2,21,15.38,0,19,1,3,2,Male,35-54 years,Yes
65,2,5,0.81,0,23,1,3,2,Male,35-54 years,Yes
66,2,65,40.74,1,19,1,3,2,Male,35-54 years,Yes
67,1,116,38.23,1,6,1,4,1,Male,55-64 years,Yes
68,2,15,5.33,0,19,1,1,1,Female,35-54 years,Yes
69,2,15,5.3,0,19,1,1,1,Female,35-54 years,Yes
70,3,25,5.64,0,17,2,4,3,Female,65 years or older,Yes
71,3,12,7.3,0,19,1,4,3,Female,65 years or older,Yes
72,3,15,7.31,0,19,1,4,3,Female,65 years or older,Yes
73,3,25,5.31,0,17,2,4,3,Female,65 years or older,Yes
74,3,10,3.01,0,17,2,4,3,Female,65 years or older,Yes
75,3,25,5.64,0,19,2,4,3,Male,65 years or older,Yes
76,3,25,5.31,0,19,2,4,3,Male,65 years or older,Yes
77,3,10,3.01,0,19,2,4,3,Male,65 years or older,Yes
78,3,85,43.65,0,19,1,4,3,Male,35-54 years,Yes
79,3,90,43.79,0,19,1,4,3,Male,35-54 years,Yes
80,4,80,61.35,1,19,1,4,2,Female,55-64 years,Yes
81,4,25,10.67,0,19,2,4,2,Female,55-64 years,Yes
82,4,5,4.19,0,19,3,4,2,Male,35-54 years,Yes
83,4,19,2.82,0,19,1,4,2,Male,35-54 years,Yes
84,4,21,16.15,0,19,1,4,2,Male,35-54 years,Yes
85,4,30,13.45,0,19,2,4,2,Male,35-54 years,Yes
86,4,24,10.67,0,19,1,4,2,Male,35-54 years,Yes
87,2,1,0.44,0,19,1,4,1,Female,35-54 years,Yes
88,2,2,0.44,0,19,1,4,1,Female,35-54 years,Yes
89,2,6,0.44,0,19,1,4,1,Female,35-54 years,Yes
90,2,17,6.75,0,19,1,4,1,Female,35-54 years,Yes
91,2,15,6.74,0,19,1,4,1,Female,35-54 years,Yes
92,1,46,36.98,0,19,1,2,1,Female,35-54 years,Yes
93,1,49,37.53,0,19,1,2,1,Female,35-54 years,Yes
94,1,31,14.92,0,19,1,2,1,Female,55-64 years,Yes
95,1,28,15.03,0,19,1,2,1,Female,55-64 years,Yes
96,5,40,19.38,0,18,1,4,3,Male,35-54 years,Yes
97,5,30,20.08,0,18,1,4,3,Male,35-54 years,Yes
98,5,10,3.03,0,19,3,4,3,Female,35-54 years,Yes
99,5,35,9.21,0,19,1,4,3,Female,35-54 years,Yes
